UNIQUE CODE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022),WINNING COALITION,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,state,code_state,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none,income_mean,expenditure_mean,poverty_rate,Loosemore-Hanby Index,Gallagher Index,Gallagher Index (n),Gallagher Index (%),Polsby-Popper Index,Parliament Area,Parliament Perimeter,Convex-Hull,Compactness,Convex Hull,Compactness Index,Reock Index,Convex Hull Index
P.001,P.001,PADANG BESAR,60192,86.01,8.14,0.88,0.33,0.57,0.01,4.06,96.35,0.01,0.76,2.88,5.92,21.35,24.86,16.09,12.74,10.78,6.04,1.87,0.35,50.18,49.82,SEMI URBAN,PN,PAS,NA,60192,12514,NA,NA,NA,694,45288,UMNO,ZAHIDA BINTI ZARIK KHAN,FEMALE,43,11753,PAN,KAPT (B) HJ MOHAMAD YAHAYA,MALE,NA,7085,PAS,RUSHDAN BIN RUSMI,MALE,44,24267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WARISAN,KO CHU LIANG,MALE,NA,244,Perlis,9,450,86798,84074,2724,44487,42311,23026,23387,3.5,1209,598,611,575,305,270,62.9,4.1,4075,4747,3154,0.31,5.7,8,169,2194,46,34,12,0,0,3,102,269,1957,99.7,0,0.3,100,0,4747,3154,5.7,0.198371947,-35184.74775,-35184.74775,-36.89027837,0.036946374,0.036797272,0.997980143,0.042132425,0.036871748,0.042132425,0.036871748,0.007899922,0.873371811
P.002,P.002,KANGAR,74859,81.58,14.73,1.57,0.13,0.08,0,1.9,98.63,0.01,1.36,0,6.25,21.51,23.09,15.83,13.45,11.6,6.04,1.88,0.35,49.54,50.46,SEMI URBAN,PN,PPBM,NA,74859,9192,NA,NA,NA,660,56200,UMNO,DR FATHUL BARI,MALE,42,15370,PKR,AMIN AHMAD,MALE,40,15143,PPBM,CIKGU ZAKRI,MALE,NA,24562,PEJUANG,USTAZ NUR SULAIMAN,MALE,34,708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WARISAN,PROF. DR. ROHIMI SHAPIEE,MALE,NA,417,Perlis,9,141,100755,98479,2276,49875,50880,28611,27996,3.5,1494,773,721,711,394,317,62.8,4,4889,5899,3694,0.35,4.2,31,636,4025,72,32,10,26,4,6,301,682,3674,99.4,0.5,0.1,100,0,5899,3694,4.2,0.24670929,-20517.74775,-20517.74775,-21.5123164,0.021526849,0.011548985,0.732456241,0.016716805,0.015767475,0.016716805,0.015767475,4.53E-04,0.690860803
P.003,P.003,ARAU,60876,87.23,7.81,1.59,0.12,0.09,0.01,3.15,99.24,0.01,0.58,0.17,5.98,20.31,21.9,16.91,15.12,11.39,5.95,2.11,0.33,48.84,51.16,SEMI URBAN,PN,DIRECT,NA,60876,23216,NA,NA,NA,727,46789,UMNO,ROZABIL @ TOK BEN,MALE,NA,8242,PKR,FATHIN AMELINA,FEMALE,28,7089,PN - DIRECT,SHAHIDAN BIN KASSIM,MALE,NA,31458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Perlis,9,222,97332,95902,1430,47983,49349,21467,29467,3.6,1395,733,662,664,374,290,63.3,4.7,4594,5411,3381,0.31,1.4,7,185,2381,51,38,8,4,1,1,138,393,1987,99.8,0.2,0,100,0,4747,3154,5.7,0.200626174,-34500.74775,-34500.74775,-36.17312245,0.023789827,0.01827056,0.876355453,0.024196779,0.020848344,0.024196779,0.020848344,0.00125405,0.755082343
P.004,P.004,LANGKAWI,66777,89.65,6.75,2.38,0.3,0.17,0,0.75,98.31,0.01,1,0.69,8,25.93,22.76,17.59,13.22,8.04,3.28,1,0.18,50.84,49.16,SEMI URBAN,PN,PPBM,NA,66777,13518,NA,NA,NA,508,47480,UMNO,DATO' ARMISHAH SIRAJ (DAS),MALE,58,11945,PAN,ZABIDI YAHYA,MALE,NA,5417,PPBM,MOHD SUHAIMI BIN ABDULLAH,MALE,NA,25463,PEJUANG,MAHATHIR BIN MOHAMAD,MALE,96,4566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,469,94138,90015,4123,48694,45444,33025,25983,3.6,1509,774,735,609,339,270,68.5,6.8,5905,6737,3334,0.28,0.9,56,723,3353,31,14,1,14,2,5,162,290,3712,99.5,0,0.5,100,0,6737,3334,0.9,0.220073823,-28599.74775,-28599.74775,-29.98607986,0.00371447,0.038225681,3.207961899,0.06827419,0.011915877,0.06827419,0.011915877,8.57E-04,0.559884794
P.005,P.005,JERLUN,67601,90.75,6.78,0.11,0.05,0.04,0,2.27,99.95,0,0.05,0,5.66,19.39,21.58,17.45,15.46,11.64,6.38,2.13,0.31,49.27,50.73,RURAL,PN,PAS,NA,67601,20456,NA,NA,NA,617,52207,UMNO,OTHMAN BIN AZIZ,MALE,63,11229,PKR,DR MOHAMED FADZIL MOHD ALI,MALE,48,6149,PAS,DR. ABD GHANI AHMAD,MALE,NA,31685,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,NA,3144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,316,66086,65407,679,32777,33309,20031,16592,4,1064,559,505,431,246,185,61.3,3.6,4106,4919,2768,0.29,6.7,4,113,1133,17,7,3,6,1,0,92,58,1086,99,0,1,100,0,4919,2768,6.7,0.222789441,-27775.74775,-27775.74775,-29.12213763,0.030986899,0.025841661,0.913211037,0.03156781,0.028297579,0.03156781,0.028297579,0.003267674,0.818607969
P.006,P.006,KUBANG PASU,108217,85.99,8.72,3.38,0.18,0.17,0.01,1.54,97.61,0.02,0.58,1.79,7.42,24.46,23.05,15.79,12.68,10.05,4.87,1.47,0.21,49.72,50.28,SEMI URBAN,PN,PPBM,NA,108217,31584,NA,NA,NA,837,83402,UMNO,HASMUNI BIN HASSAN,MALE,NA,14489,PKR,AIZUDDIN ARIFFIN,MALE,35,16000,PPBM,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,MALE,NA,47584,PEJUANG,AMIRUDDIN HAMZAH (TOK MET),MALE,NA,5329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,634,171375,165147,6228,84396,86979,52335,42024,3.9,2892,1550,1342,1174,682,492,61.7,4,5060,6673,4360,0.37,4.3,44,588,3980,71,47,15,4,5,6,331,292,3986,100,0,0,100,0,6673,4360,4.3,0.356645684,12840.25225,12840.25225,13.46266523,0.025794216,0.051804031,1.417165649,0.065943885,0.036554676,0.065943885,0.036554676,0.010931233,0.78557749
P.007,P.007,PADANG TERAP,59806,91.66,1.3,0.14,0.06,0.04,0,6.81,99.65,0,0.34,0,6.29,22.21,23.34,17.33,14.15,9.88,4.83,1.74,0.24,49,51,RURAL,PN,PAS,NA,59806,10959,NA,NA,NA,632,48629,UMNO,MAHDZIR BIN KHALID,MALE,62,17258,PAN,MUAZ ABDULLAH,MALE,NA,2702,PAS,USTAZ NURUL AMIN,MALE,NA,28217,PEJUANG,RAZALI BIN LEBAI SALLEH,MALE,NA,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,1357,65986,62672,3314,34362,31624,19119,16055,4.1,1059,532,527,429,235,194,65.4,4.2,3722,4781,3419,0.31,9.1,8,92,1023,21,17,3,0,1,1,55,65,992,100,0,0,100,0,4747,3154,5.7,0.197099825,-35570.74775,-35570.74775,-37.29498917,0.030935314,0.110921382,1.893565665,0.131596944,0.058578049,0.131596944,0.058578049,0.060104197,0.842887212
P.008,P.008,POKOK SENA,114838,81.32,15.24,2.48,0.08,0.09,0.01,0.79,97.99,0.01,0.73,1.27,5.71,21.32,23.05,16.89,13.7,11.05,5.94,2.03,0.32,49.52,50.48,SEMI URBAN,PN,PAS,NA,114838,31751,NA,NA,NA,823,87944,UMNO,NORAN ZAMINI BIN JAMALUDDIN,MALE,NA,14523,PAN,DATO' WIRA HJ MAHFUZ OMAR,MALE,NA,20524,PAS,DATO' AHMAD YAHAYA,MALE,NA,52275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WARISAN,NORAINI BINTI MD SALLEH,FEMALE,NA,622,Kedah,2,322,133057,128272,4785,68364,64693,41373,34802,3.7,2104,1066,1038,848,468,380,65.8,4.6,4443,5522,3564,0.33,6.8,67,1040,5932,142,93,25,16,8,9,318,1058,5582,100,0,0,100,0,5522,3564,6.8,0.378466203,19461.25225,19461.25225,20.40460879,0.023278756,0.0262593,1.062090899,0.034278559,0.024724155,0.034278559,0.024724155,0.002534812,0.766056123
P.009,P.009,ALOR SETAR,105994,63.18,31.76,4.26,0.08,0.06,0.01,0.65,99.32,0.02,0.66,0,5.12,19.28,21.83,16.63,14.08,13.06,7.19,2.23,0.57,48.97,51.03,URBAN,PN,PAS,NA,105994,9931,NA,NA,NA,774,76986,MCA,TAN CHEE HIONG,MALE,43,8930,PKR,SIMON OOI TZE MIN,MALE,38,27555,PAS,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,MALE,NA,37486,PEJUANG,NUHAIRI RAHMAT,MALE,45,2383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WARISAN,FADZIL BIN HANAFI,MALE,NA,366,Kedah,2,111,119010,112474,6536,58863,60147,35093,30140,3.8,1795,941,854,726,414,312,61.9,5.5,4543,5540,4146,0.32,4.9,90,1786,5621,98,53,13,19,13,38,500,566,6478,100,0,0,100,0,5540,4146,4.9,0.349319448,10617.25225,10617.25225,11.13190846,0.016428202,0.009090433,0.743870393,0.013092085,0.012220453,0.013092085,0.012220453,2.14E-04,0.694345713
P.010,P.010,KUALA KEDAH,132500,75.96,22.25,1.18,0.04,0.05,0,0.52,99.93,0.01,0.06,0,6.06,21.47,22.39,17.45,13.77,11.37,5.45,1.77,0.27,49.1,50.9,SEMI URBAN,PN,PAS,NA,132500,28061,NA,NA,NA,811,100475,UMNO,DATO DR MASHITAH BINTI IBRAHIM,FEMALE,58,13879,PKR,DR AZMAN ISMAIL,MALE,61,28237,PAS,DR. AHMAD FAKHRUDDIN,MALE,NA,56298,PEJUANG,ULYA HUSAMUDIN,MALE,NA,1805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WARISAN,PAK TUAN AL IDRUS,MALE,NA,256,Kedah,2,233,172099,167709,4390,86260,85839,48799,43175,3.9,2686,1399,1287,1087,615,472,61.2,5.2,4405,5912,4183,0.38,7.3,50,732,4020,79,30,12,30,7,5,371,300,4083,100,0,0,100,0,5912,4183,7.3,0.436674027,37123.25225,37123.25225,38.92274913,0.019975402,0.018978887,0.974737335,0.028453875,0.01947077,0.028453875,0.01947077,0.001136205,0.667005349
